Date,AidRespond,Fire/Alarm,Gas/Electronic/CO Dect/Water prob,Accident/Rescue,Violent Respond
2010-01,4844,653,80,301,17
2010-02,4460,563,72,296,17
2010-03,4974,675,72,302,13
2010-04,4724,659,53,302,18
2010-05,5175,709,76,338,15
2010-06,5032,676,83,338,20
2010-07,5535,868,68,346,18
2010-08,5364,825,69,345,33
2010-09,5170,785,74,351,23
2010-10,5320,759,82,408,22
2010-11,4862,871,197,366,13
2010-12,4900,730,120,305,24
2011-01,4828,699,102,294,16
2011-02,4460,658,72,298,19
2011-03,5179,644,104,309,22
2011-04,4892,586,79,308,14
2011-05,5309,663,72,352,19
2011-06,5281,669,50,350,18
2011-07,5446,726,92,339,36
2011-08,5720,760,65,369,20
2011-09,5177,789,80,310,24
2011-10,5025,705,109,330,39
2011-11,4727,587,96,324,12
2011-12,4968,661,87,336,18
2012-01,5077,657,126,264,30
2012-02,4892,572,100,244,23
2012-03,5387,572,78,331,16
2012-04,5295,545,64,307,14
2012-05,5529,691,70,362,24
2012-06,5644,695,63,333,22
2012-07,5708,753,76,353,28
2012-08,6053,840,70,372,30
2012-09,5712,699,73,292,24
2012-10,5379,746,95,421,25
2012-11,5194,639,111,327,16
2012-12,5761,593,105,360,18
2013-01,5684,605,109,301,17
2013-02,5119,581,89,241,19
2013-03,5674,634,83,269,18
2013-04,5427,703,107,326,21
2013-05,5932,705,119,345,29
2013-06,6001,709,79,364,25
2013-07,6352,794,106,348,30
2013-08,6230,758,108,334,23
2013-09,5717,735,106,394,24
2013-10,5679,690,102,349,16
2013-11,5486,658,113,361,17
2013-12,5687,838,209,345,17
2014-01,5773,585,122,318,18
2014-02,5327,664,114,322,22
2014-03,5799,623,105,350,13
2014-04,5813,638,90,319,16
2014-05,6206,721,96,392,15
2014-06,6108,734,102,416,28
2014-07,6476,902,93,425,19
2014-08,6582,820,119,442,18
2014-09,6122,733,108,392,31
2014-10,6186,774,123,442,13
2014-11,5771,780,130,392,14
2014-12,5778,749,128,376,27
2015-01,6045,663,104,350,21
2015-02,5302,634,100,300,23
2015-03,5998,640,99,304,21
2015-04,5939,674,92,338,17
2015-05,6603,748,78,333,23
2015-06,6487,937,99,390,23
2015-07,6839,1128,123,401,26
2015-08,6702,928,142,397,30
2015-09,6186,789,113,353,13
2015-10,6329,801,100,375,19
2015-11,5745,806,133,378,18
2015-12,6142,711,128,350,20
2016-01,6127,695,116,341,24
2016-02,5675,636,97,290,14
2016-03,6341,795,167,364,25
2016-04,6490,716,122,315,19
2016-05,6521,820,142,350,17
2016-06,6318,895,119,329,25
2016-07,6654,889,110,398,34
2016-08,6793,910,114,393,23
2016-09,6231,776,129,363,14
2016-10,6204,812,143,416,29
2016-11,5954,827,128,405,37
2016-12,6447,797,176,460,20
2017-01,6421,796,181,339,23
2017-02,5675,683,121,325,15
2017-03,6218,713,102,365,19
2017-04,5931,768,104,385,18
2017-05,6611,796,120,391,32
2017-06,6400,856,112,365,19
2017-07,6649,1072,144,405,27
2017-08,6816,948,131,348,24
2017-09,6335,862,115,317,26
2017-10,6264,837,143,404,19
2017-11,6051,786,140,386,13
2017-12,6171,777,116,314,24
2018-01,6482,730,122,326,24
2018-02,5520,726,112,281,30
2018-03,6335,781,112,329,19
2018-04,6000,697,97,347,22
2018-05,6488,829,106,405,24
2018-06,6332,883,96,383,28
2018-07,6746,1114,124,423,33
2018-08,6328,931,142,412,26
2018-09,5902,864,107,328,29
2018-10,6032,864,128,397,26
2018-11,5753,746,134,337,22
2018-12,5755,836,156,415,13
2019-01,5936,766,131,337,23
2019-02,5385,777,159,305,23
2019-03,6241,861,120,336,29
2019-04,5692,816,116,332,24
2019-05,6050,847,112,418,36
2019-06,5962,863,120,415,28
2019-07,6231,978,129,456,34
2019-08,6165,950,115,435,29
2019-09,5875,879,129,454,21
2019-10,5846,878,161,410,14
2019-11,5472,804,156,367,26
2019-12,5631,759,221,384,24
2020-01,5648,801,168,387,20
2020-02,5239,772,157,349,13
2020-03,4779,774,143,255,20
2020-04,4290,679,97,204,15
2020-05,4961,762,122,200,29
2020-06,4532,768,99,276,26
2020-07,3786,809,86,256,25
